yearweek,campaign_id,campaign_name,currency,impressions,ctr,cpc,cpm,cost,media,clicks,cost_convertion,store_group_id,tabla_medio,name_storeGroup,campaign,ISOweek,sales
202215,23849162045880106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP3,USD,16997,0.007,1.06,7.43,126.31,Facebook,119,7.43,22,Facebook Weekly,LFX_TXUP3,LFX_STAGEI,202217,66
202214,23849162045880106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP3,USD,18105,0.0072,0.96,6.96,126.1,Facebook,131,5.73,22,Facebook Weekly,LFX_TXUP3,LFX_STAGEI,202216,61
202213,23849162045880106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP3,USD,17353,0.0073,1.0,7.3,126.63,Facebook,127,5.51,22,Facebook Weekly,LFX_TXUP3,LFX_STAGEI,202215,69
202212,23849162045880106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP3,USD,15282,0.0075,1.11,8.26,126.17,Facebook,114,5.26,22,Facebook Weekly,LFX_TXUP3,LFX_STAGEI,202214,67
202211,23849162045880106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP3,USD,16899,0.0065,1.15,7.44,125.71,Facebook,109,6.29,22,Facebook Weekly,LFX_TXUP3,LFX_STAGEI,202213,70
202210,23849162045880106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP3,USD,19405,0.0057,1.14,6.49,126.01,Facebook,111,6.63,22,Facebook Weekly,LFX_TXUP3,LFX_STAGEI,202212,61
202209,23849162045880106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP3,USD,20799,0.0055,1.1,6.08,126.39,Facebook,115,8.43,22,Facebook Weekly,LFX_TXUP3,LFX_STAGEI,202211,69
202208,23849162045880106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP3,USD,19633,0.0062,1.03,6.43,126.19,Facebook,122,3.82,22,Facebook Weekly,LFX_TXUP3,LFX_STAGEI,202210,63
202207,23849162045880106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP3,USD,20858,0.0066,0.91,6.01,125.46,Facebook,138,8.96,22,Facebook Weekly,LFX_TXUP3,LFX_STAGEI,202209,40
202206,23849162045880106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP3,USD,19031,0.0068,0.98,6.63,126.19,Facebook,129,5.49,22,Facebook Weekly,LFX_TXUP3,LFX_STAGEI,202208,70
202205,23849162045880106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP3,USD,21054,0.0063,0.95,5.97,125.77,Facebook,133,3.49,22,Facebook Weekly,LFX_TXUP3,LFX_STAGEI,202207,41
202204,23849162045880106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP3,USD,18572,0.0079,0.86,6.79,126.09,Facebook,146,3.5,22,Facebook Weekly,LFX_TXUP3,LFX_STAGEI,202206,130
202203,23849162045880106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP3,USD,20515,0.0072,0.85,6.14,125.88,Facebook,148,2.68,22,Facebook Weekly,LFX_TXUP3,LFX_STAGEI,202205,59
202202,23849162045880106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP3,USD,22031,0.0081,0.71,5.73,126.24,Facebook,178,4.35,22,Facebook Weekly,LFX_TXUP3,LFX_STAGEI,202204,58
202201,23849162045880106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP3,USD,25131,0.0066,0.76,5.01,125.97,Facebook,166,4.06,22,Facebook Weekly,LFX_TXUP3,LFX_STAGEI,202203,53
202218,23849162045880106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP3,USD,17951,0.0065,1.07,7.0,125.72,Facebook,117,3.81,22,Facebook Weekly,LFX_TXUP3,LFX_STAGEI,202220,58
202225,23849161990670106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP2,USD,6996,0.0109,0.74,8.03,56.16,Facebook,76,1.87,23,Facebook Weekly,LFX_TXUP2,LFX_STAGEI,202227,76
202224,23849161990670106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP2,USD,7219,0.0104,0.75,7.75,55.96,Facebook,75,1.14,23,Facebook Weekly,LFX_TXUP2,LFX_STAGEI,202226,115
202223,23849161990670106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP2,USD,8260,0.0103,0.66,6.81,56.21,Facebook,85,3.31,23,Facebook Weekly,LFX_TXUP2,LFX_STAGEI,202225,107
202222,23849161990670106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP2,USD,11050,0.0098,0.64,6.25,69.02,Facebook,108,2.38,23,Facebook Weekly,LFX_TXUP2,LFX_STAGEI,202224,100
202221,23849161990670106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP2,USD,13406,0.0083,0.75,6.24,83.7,Facebook,111,1.9,23,Facebook Weekly,LFX_TXUP2,LFX_STAGEI,202223,106
202220,23849161990670106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP2,USD,11774,0.0093,0.77,7.16,84.29,Facebook,110,4.96,23,Facebook Weekly,LFX_TXUP2,LFX_STAGEI,202222,100
202219,23849161990670106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP2,USD,16046,0.0093,0.75,6.98,112.05,Facebook,150,2.49,23,Facebook Weekly,LFX_TXUP2,LFX_STAGEI,202221,102
202217,23849161990670106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP2,USD,15556,0.0073,0.99,7.22,112.37,Facebook,113,4.89,23,Facebook Weekly,LFX_TXUP2,LFX_STAGEI,202219,81
202216,23849161990670106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_TXUP2,USD,15041,0.0078,0.95,7.43,111.79,Facebook,118,5.88,23,Facebook Weekly,LFX_TXUP2,LFX_STAGEI,202218,105
